vértice,tempo_execução,solução
10,10.99848747253418,6.0
10,10.999917984008789,9.0
10,10.998010635375977,9.0
10,11.001348495483398,8.0
10,11.998176574707031,10.0
10,10.998725891113281,15.0
10,11.997699737548828,6.0
10,10.998010635375977,10.0
10,11.999368667602539,5.0
10,11.000394821166992,10.0
10,12.001276016235352,11.0
10,11.001110076904297,15.0
10,11.002063751220703,14.0
10,11.998414993286133,12.0
10,11.000633239746094,15.0
10,11.999368667602539,9.0
10,12.99905776977539,15.0
10,12.000083923339844,3.0
10,10.99848747253418,8.0
10,12.000083923339844,7.0
10,10.999917984008789,16.0
10,11.0015869140625,3.0
10,12.000560760498047,17.0
10,10.999917984008789,15.0
10,12.000083923339844,15.0
10,10.998725891113281,6.0
10,13.99993896484375,19.0
10,11.99793815612793,22.0
10,11.002540588378906,11.0
