vértice,tempo_execução,solução,rota
10,17.000198364257812,9,"[0, 7, 6, 1, 3, 4, 8, 2, 5, 9]"
10,13.999223709106445,8,"[0, 5, 4, 7, 6, 2, 8, 1, 3, 9]"
10,48.998355865478516,15,"[0, 4, 2, 1, 7, 6, 9, 5, 3, 8]"
10,25.998830795288086,10,"[0, 3, 7, 4, 2, 1, 8, 5, 6, 9]"
10,107.99813270568848,16,"[0, 8, 2, 6, 4, 9, 3, 7, 5, 1]"
10,137.00056076049805,17,"[0, 5, 7, 1, 6, 9, 2, 8, 3, 4]"
10,9.998559951782227,7,"[0, 1, 8, 6, 7, 4, 5, 9, 3, 2]"
10,18.999099731445312,12,"[0, 3, 4, 7, 2, 5, 1, 8, 6, 9]"
10,23.998498916625977,11,"[0, 8, 2, 6, 4, 5, 1, 7, 9, 3]"
10,63.00067901611328,14,"[0, 1, 7, 4, 9, 6, 8, 2, 5, 3]"
10,30.000686645507812,9,"[0, 3, 8, 4, 5, 1, 9, 7, 2, 6]"
10,12.000322341918945,7,"[0, 3, 4, 1, 5, 7, 8, 9, 2, 6]"
10,30.00020980834961,10,"[0, 4, 9, 2, 1, 3, 8, 5, 6, 7]"
10,38.00010681152344,10,"[0, 4, 2, 5, 9, 3, 7, 6, 1, 8]"
10,17.162561416625977,6,"[0, 8, 3, 7, 1, 6, 5, 2, 9, 4]"
10,52.00004577636719,15,"[0, 7, 2, 9, 3, 5, 1, 8, 6, 4]"
10,10.997295379638672,5,"[0, 5, 7, 4, 3, 6, 9, 8, 1, 2]"
10,40.00210762023926,9,"[0, 6, 7, 9, 2, 8, 1, 4, 3, 5]"
10,41.0001277923584,11,"[0, 6, 4, 9, 2, 7, 8, 5, 1, 3]"
10,27.9996395111084,11,"[0, 6, 3, 9, 8, 1, 4, 2, 7, 5]"
10,17.99941062927246,8,"[0, 3, 1, 4, 5, 2, 6, 9, 7, 8]"
10,17.00139045715332,9,"[0, 5, 4, 2, 9, 1, 3, 7, 8, 6]"
10,37.99915313720703,10,"[0, 1, 9, 8, 2, 5, 6, 3, 7, 4]"
10,68.9997673034668,15,"[0, 1, 7, 2, 4, 8, 9, 5, 3, 6]"
10,43.999671936035156,11,"[0, 6, 1, 2, 5, 9, 7, 8, 3, 4]"
10,53.00021171569824,13,"[0, 2, 1, 7, 4, 6, 8, 3, 9, 5]"
10,26.000022888183594,8,"[0, 8, 3, 1, 4, 5, 7, 6, 9, 2]"
10,31.998872756958008,11,"[0, 8, 7, 5, 6, 3, 4, 2, 9, 1]"
10,5.999326705932617,5,"[0, 5, 7, 8, 3, 1, 2, 4, 6, 9]"
10,34.000396728515625,11,"[0, 2, 1, 7, 9, 8, 4, 6, 3, 5]"
10,101.00007057189941,14,"[0, 1, 9, 4, 2, 8, 6, 7, 5, 3]"
10,39.00265693664551,10,"[0, 4, 3, 2, 9, 6, 8, 7, 1, 5]"
10,76.00021362304688,15,"[0, 2, 4, 3, 8, 1, 5, 6, 9, 7]"
10,32.99999237060547,12,"[0, 1, 3, 7, 9, 6, 4, 2, 8, 5]"
10,26.000022888183594,9,"[0, 5, 4, 7, 1, 2, 9, 3, 6, 8]"
10,78.99951934814453,13,"[0, 6, 7, 3, 2, 4, 8, 9, 1, 5]"
10,103.00016403198242,15,"[0, 1, 9, 5, 8, 2, 6, 7, 4, 3]"
10,71.00033760070801,16,"[0, 3, 2, 4, 7, 1, 8, 5, 6, 9]"
10,21.999597549438477,7,"[0, 3, 9, 5, 4, 2, 6, 1, 8, 7]"
10,54.0003776550293,13,"[0, 9, 2, 8, 5, 6, 7, 1, 3, 4]"
10,50.00019073486328,13,"[0, 5, 1, 3, 4, 9, 8, 6, 2, 7]"
10,16.99995994567871,5,"[0, 6, 9, 7, 1, 3, 8, 5, 2, 4]"
10,19.001007080078125,7,"[0, 3, 7, 8, 5, 9, 4, 1, 6, 2]"
10,40.999650955200195,11,"[0, 6, 3, 1, 2, 8, 4, 7, 9, 5]"
10,81.00032806396484,14,"[0, 2, 6, 7, 8, 1, 5, 3, 9, 4]"
10,26.000022888183594,8,"[0, 6, 4, 5, 3, 7, 9, 2, 8, 1]"
10,48.00009727478027,13,"[0, 9, 4, 8, 2, 5, 3, 6, 7, 1]"
10,55.998802185058594,13,"[0, 5, 1, 6, 8, 2, 4, 3, 9, 7]"
10,74.99980926513672,15,"[0, 6, 1, 2, 5, 8, 4, 7, 3, 9]"
10,76.99894905090332,14,"[0, 2, 4, 9, 1, 6, 3, 5, 8, 7]"
10,88.99879455566406,13,"[0, 5, 9, 2, 6, 8, 4, 3, 7, 1]"
10,68.00055503845215,13,"[0, 9, 3, 4, 6, 1, 8, 7, 5, 2]"
10,55.00030517578125,11,"[0, 5, 2, 9, 6, 4, 3, 1, 7, 8]"
10,39.99924659729004,11,"[0, 7, 1, 8, 3, 2, 9, 5, 4, 6]"
10,36.99970245361328,10,"[0, 2, 7, 8, 3, 9, 4, 5, 6, 1]"
10,64.00132179260254,13,"[0, 2, 9, 8, 7, 4, 6, 3, 1, 5]"
10,55.9995174407959,14,"[0, 5, 3, 2, 4, 8, 9, 1, 6, 7]"
10,37.999868392944336,11,"[0, 1, 8, 9, 5, 2, 3, 7, 4, 6]"
10,61.537742614746094,12,"[0, 7, 6, 9, 2, 8, 5, 4, 3, 1]"
10,24.99842643737793,9,"[0, 7, 9, 1, 2, 4, 8, 5, 6, 3]"
10,13.000011444091797,7,"[0, 2, 6, 3, 8, 1, 5, 4, 7, 9]"
10,18.001794815063477,8,"[0, 7, 8, 5, 2, 9, 3, 4, 6, 1]"
10,29.999971389770508,10,"[0, 6, 1, 3, 5, 7, 4, 8, 9, 2]"
10,34.00015830993652,11,"[0, 7, 1, 4, 2, 3, 8, 9, 6, 5]"
10,9.000778198242188,7,"[0, 8, 4, 7, 1, 2, 9, 5, 6, 3]"
10,37.000179290771484,10,"[0, 8, 9, 4, 7, 6, 2, 1, 5, 3]"
10,163.00010681152344,16,"[0, 2, 4, 1, 5, 8, 6, 9, 3, 7]"
10,31.998872756958008,9,"[0, 8, 1, 7, 5, 6, 2, 3, 9, 4]"
10,45.000314712524414,13,"[0, 6, 2, 9, 8, 1, 4, 7, 3, 5]"
10,83.00018310546875,16,"[0, 2, 3, 9, 8, 5, 4, 6, 7, 1]"
10,24.00040626525879,8,"[0, 1, 7, 8, 6, 9, 4, 3, 2, 5]"
10,82.99994468688965,14,"[0, 7, 1, 8, 6, 5, 3, 9, 2, 4]"
10,23.000001907348633,8,"[0, 8, 1, 2, 9, 7, 6, 3, 5, 4]"
10,26.000022888183594,9,"[0, 1, 5, 9, 4, 7, 3, 8, 6, 2]"
10,47.99914360046387,13,"[0, 7, 9, 8, 5, 1, 3, 2, 6, 4]"
10,22.99976348876953,11,"[0, 2, 5, 9, 1, 7, 6, 4, 3, 8]"
10,37.000179290771484,11,"[0, 4, 9, 5, 3, 8, 6, 7, 1, 2]"
10,61.99979782104492,15,"[0, 7, 4, 5, 6, 9, 3, 1, 8, 2]"
10,82.0002555847168,14,"[0, 5, 3, 7, 9, 4, 1, 8, 6, 2]"
10,47.00040817260742,11,"[0, 4, 6, 1, 7, 8, 3, 2, 9, 5]"
10,44.99983787536621,12,"[0, 1, 9, 7, 8, 3, 4, 2, 6, 5]"
10,102.99992561340332,16,"[0, 1, 7, 3, 5, 4, 8, 9, 2, 6]"
10,95.00837326049805,14,"[0, 2, 8, 9, 3, 6, 1, 7, 4, 5]"
10,59.999942779541016,12,"[0, 8, 2, 1, 4, 6, 9, 5, 3, 7]"
10,31.999826431274414,10,"[0, 3, 9, 7, 8, 1, 2, 5, 4, 6]"
10,68.9997673034668,13,"[0, 1, 3, 8, 9, 5, 2, 4, 7, 6]"
10,98.00076484680176,15,"[0, 1, 7, 3, 6, 9, 8, 4, 5, 2]"
10,46.99993133544922,12,"[0, 5, 2, 7, 4, 9, 1, 3, 8, 6]"
10,14.513254165649414,9,"[0, 9, 3, 2, 1, 7, 5, 6, 8, 4]"
10,49.00002479553223,11,"[0, 5, 4, 7, 8, 1, 2, 9, 3, 6]"
10,30.999422073364258,11,"[0, 1, 4, 2, 5, 3, 7, 8, 6, 9]"
10,32.99975395202637,10,"[0, 7, 1, 8, 6, 9, 5, 3, 2, 4]"
10,16.00050926208496,6,"[0, 6, 5, 1, 2, 4, 8, 9, 7, 3]"
10,13.99850845336914,7,"[0, 5, 2, 4, 7, 1, 9, 3, 8, 6]"
10,12.999773025512695,7,"[0, 2, 5, 1, 3, 6, 9, 7, 4, 8]"
10,241.00112915039062,17,"[0, 7, 9, 4, 6, 3, 1, 2, 5, 8]"
